시군명,사업장명,인허가일자,영업상태명,입소정원(명),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
용인시,일산1리 경로당,19960101,운영중,58,,경기도 용인시 처인구 모현면,,37.3309901316,127.2475852940
용인시,박곡리 상촌경로당,19940412,운영중,38,경기도 용인시 처인구 백암면 박곡로 223,경기도 용인시 처인구 백암면 박곡리 95-3번지,17179,37.1760570202,127.3981865968
용인시,서천마을 휴먼시아 2단지 경로당,20110916,운영중,30,,경기도 용인시 기흥구 서천동 서천마을 휴먼시아 2단지,,37.2290728162,127.0870668201
용인시,서천마을 휴먼시아 2단지경로당,20110920,운영중,,경기도 용인시 기흥구 서천로128번길 12,경기도 용인시 기흥구 서천동 743번지,17107,37.2381744891,127.0711530380
용인시,신일유토빌(아) 경로당,20110105,운영중,0,,경기도 용인시 기흥구 상하동 갈천마을신일유토빌(아),,37.2552012416,127.1524966096
용인시,수원동 경로당,20110110,운영중,0,경기도 용인시 기흥구 중부대로 793,경기도 용인시 기흥구 상하동 256-8번지,16996,37.2577443402,127.1433483877
용인시,래미안이스트팰리스3단지경로당,20110201,운영중,29,,경기도 용인시 수지구 동천동 1310동 1층 래미안3단지 경로당,,37.3450284213,127.0833025733
용인시,버들치마을 힐스테이트 3차 경로당,20110209,운영중,0,경기도 용인시 수지구 성복2로 220,경기도 용인시 수지구 성복동 760번지,16807,37.3211361975,127.0634998642
용인시,래미안이스트팰리스2단지경로당,20110210,운영중,26,,경기도 용인시 수지구 동천동 938번지 래미안이스트팰리스 2단지,16822,37.3365180369,127.0900527625
용인시,흥덕 파밀리에아파트 경로당,20110211,운영중,70,,경기도 용인시 기흥구 영덕동 1069번지 흥덕마을 신동아파밀리에아파트,16950,37.2710452321,127.0836522603
용인시,우미이노스빌2차 경로당,20051012,운영중,28,,경기도 용인시 수지구 죽전동,,37.3322832920,127.1117575334
용인시,한라프로방스경로당,20051123,운영중,27,,경기도 용인시 수지구 죽전동 꽃메마을 한라프로방스,,37.3322832920,127.1117575334
용인시,삼계6리경로당,20051121,운영중,18,경기도 용인시 처인구 포곡읍 백옥대로 1793,경기도 용인시 처인구 포곡읍 삼계리 407-11번지,17028,37.2867155395,127.2333458906
용인시,고림14통경로당,20051122,운영중,21,경기도 용인시 처인구 임원로 105,경기도 용인시 처인구 고림동 456-7번지,17039,37.2560789723,127.2247871041
용인시,4단지 경로당,20050516,운영중,30,,경기도 용인시 기흥구 구갈동,,37.2809320644,127.1230947794
용인시,신봉마을 LG자이2차(아) 경로당,20050602,운영중,37,경기도 용인시 수지구 신봉2로 72,경기도 용인시 수지구 신봉동 911번지,16813,37.3291761960,127.0744396906
용인시,고림19통(코아루아파트)경로당,20050608,운영중,25,경기도 용인시 처인구 한터로275번길 40,경기도 용인시 처인구 고림동 1002번지,17039,37.2582451079,127.2369227071
용인시,신안아파트1단지 노인회,20050603,운영중,14,경기도 용인시 처인구 모현읍 문현로 326,경기도 용인시 처인구 모현면 일산리 669번지,17033,37.3367652747,127.2433724297
용인시,금화마을 주공3단지 경로당,20050507,운영중,30,경기도 용인시 기흥구 금화로11번길 10,경기도 용인시 기흥구 상갈동 481번지,17073,37.2623499286,127.1071926244
용인시,신촌마을포스홈타운1단지,20050713,운영중,50,,경기도 용인시 기흥구 보정동 신촌마을포스홈타운1단지(아)경로당,,37.3159235873,127.1086541796
용인시,래미안2차경로당,20040211,운영중,0,경기도 용인시 기흥구 구성로 90,경기도 용인시 기흥구 언남동 495번지,16919,37.2928482286,127.1184673159
용인시,연원현대아파트 경로당,20010102,운영중,0,,경기도 용인시 기흥구 마북동,,37.3139837463,127.1378350754
용인시,신대경로당,20010727,운영중,21,경기도 용인시 처인구 금학로253번길 5-1,경기도 용인시 처인구 역북동 금양맨션 103호,17046,37.2384132353,127.1916027270
용인시,공영경로당,20011211,운영중,24,경기도 용인시 처인구 금학로277번길 2,경기도 용인시 처인구 역북동 454-50번지 B01호,17046,37.2379670081,127.1945429605
용인시,상현2통 경로당,20010113,운영중,47,,경기도 용인시 수지구 상현동 502-6번지,,37.2976800456,127.0682743772
용인시,염심경로당,20000930,운영중,10,,경기도 용인시 처인구 남사면 전궁리,17124,37.1071539874,127.1573124936
용인시,하반경로당,19800929,운영중,43,경기도 용인시 처인구 이동읍 서리로102번길 1-8,경기도 용인시 처인구 이동면 서리 180-1번지,17127,37.1932469952,127.1781324962
용인시,라이프아파트 경로당,19980929,운영중,28,경기도 용인시 처인구 이동읍 이원로 101,경기도 용인시 처인구 이동면 천리 56-4번지,17131,37.1874691061,127.2177952257
용인시,마평5통경로당,20050114,운영중,23,경기도 용인시 처인구 경안천로 8,경기도 용인시 처인구 마평동 900-1번지,17154,37.2338577815,127.2108724794
용인시,둔전9리 경로당,20050201,운영중,0,경기도 용인시 처인구 포곡읍 포곡로108번길 32,경기도 용인시 처인구 포곡읍 둔전리 144-12번지 111 111동 101호,17027,37.2666059254,127.2183130131
용인시,주공아파트경로당,20050323,운영중,35,,경기도 용인시 처인구 마평동,,37.1947915024,127.2682070582
